
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
362.852,1.541,-1.426,3.220372584e-08,4.69168524e-09,-1.183541e+02
366.220,1.397,-1.827,4.7184984e-08,5.27172228e-09,-1.328163e+02
369.534,1.550,-1.917,4.49967672e-08,4.91138604e-09,-1.238128e+02
372.999,1.962,-1.915,3.9734838e-08,4.40507628e-09,-1.109971e+02
376.869,1.956,-1.908,3.932036064e-08,4.42455948e-09,-1.115307e+02
380.303,1.490,-1.477,5.28635844e-08,5.70438396e-09,-1.438365e+02
383.786,1.824,-1.994,4.08199572e-08,4.4360514e-09,-1.119012e+02
387.169,1.626,-1.559,3.594978684e-08,4.55052708e-09,-1.147890e+02
390.484,1.304,-1.689,3.438672732e-08,4.6173996e-09,-1.164439e+02
393.693,1.952,-1.905,4.01694876e-08,4.39799184e-09,-1.109484e+02
397.129,1.023,-1.483,3.480377076e-08,4.79201976e-09,-1.208912e+02
398.659,0.457,-0.507,3.410968572e-08,4.38196176e-09,-1.098971e+02
399.533,0.485,-0.417,3.555538272e-08,4.71095064e-09,-1.182099e+02
400.562,0.563,-0.544,2.898164808e-08,3.839151888e-09,-9.634990e+01
401.566,0.466,-0.441,3.50452674e-08,4.69023984e-09,-1.177451e+02
402.584,0.524,-0.552,2.979600624e-08,3.945187224e-09,-9.904698e+01
403.724,0.575,-0.616,2.740453452e-08,3.552966648e-09,-8.919640e+01
404.834,0.437,-0.535,3.357868932e-08,4.35232908e-09,-1.092859e+02
405.750,0.492,-0.480,3.442164264e-08,4.32556344e-09,-1.085943e+02
406.807,0.452,-0.566,3.205175688e-08,4.15245996e-09,-1.043053e+02
407.717,0.628,-0.457,2.904845724e-08,3.923671752e-09,-9.861516e+01
408.853,0.499,-0.508,3.285193032e-08,4.16743272e-09,-1.046981e+02
410.029,0.609,-0.677,2.525050044e-08,3.309873336e-09,-8.319778e+01
411.131,0.474,-0.494,3.275570232e-08,4.37473476e-09,-1.100017e+02
412.181,0.567,-0.575,2.775533112e-08,3.706172712e-09,-9.320515e+01
413.294,0.532,-0.546,3.838757868e-08,4.35973032e-09,-1.094924e+02
414.374,0.591,-0.548,2.832011424e-08,3.701445264e-09,-9.310030e+01
415.530,0.555,-0.566,2.90131974e-08,3.751876656e-09,-9.437804e+01
416.589,0.592,-0.504,3.016952532e-08,3.820877676e-09,-9.611378e+01
417.824,0.543,-0.642,2.672218296e-08,3.60907272e-09,-9.083990e+01
418.929,0.529,-0.563,2.954636784e-08,3.858700032e-09,-9.711163e+01
420.086,0.687,-0.627,2.377417284e-08,3.238964784e-09,-8.154157e+01
421.326,0.531,-0.552,2.960545896e-08,3.908257452e-09,-9.834706e+01
422.367,0.566,-0.511,3.10702986e-08,3.896453484e-09,-9.797661e+01
423.563,0.644,-0.630,2.475256212e-08,3.340749852e-09,-8.401628e+01
